sequence,feasible,objective,total_energy,total_dist,failure_reason,arrival_times
0-1-2,False,0,0,41297.069820357705,Time_Window_Violation,
0-1-3,False,0,0,38411.60846433049,Time_Window_Violation,
0-1-4,False,0,0,39792.311968544236,Time_Window_Violation,
0-1-5,False,0,0,38056.928329810245,Time_Window_Violation,
0-1-6,False,0,0,42780.56120586219,Time_Window_Violation,
0-1-7,False,0,0,40066.70649940391,Time_Window_Violation,
0-1-8,False,0,0,43792.311968544236,Time_Window_Violation,
0-1-9,False,0,0,46061.4028237917,Time_Window_Violation,
0-1-10,False,0,0,45642.63533369519,Time_Window_Violation,
0-1-11,False,0,0,48378.30001777879,Time_Window_Violation,
0-1-12,False,0,0,83009.21671840231,Time_Window_Violation,
0-1-13,False,0,0,73529.01585411075,Time_Window_Violation,
0-1-14,False,0,0,86639.57829272845,Time_Window_Violation,
0-1-15,False,0,0,82467.9036946334,Time_Window_Violation,
0-1-16,False,0,0,89225.2633494241,Time_Window_Violation,
0-1-17,False,0,0,79875.84466492553,Time_Window_Violation,
0-1-18,False,0,0,84842.72435309552,Time_Window_Violation,
0-1-19,False,0,0,90043.77891460969,Time_Window_Violation,
0-1-20,False,0,0,52112.29071998937,Time_Window_Violation,
0-1-21,False,0,0,50811.29291891628,Time_Window_Violation,
0-1-22,False,0,0,54192.30181272335,Time_Window_Violation,
0-1-23,False,0,0,53082.4762513021,Time_Window_Violation,
0-1-24,False,0,0,60588.789786416826,Time_Window_Violation,
0-1-25,False,0,0,59426.78459242236,Time_Window_Violation,
0-1-26,False,0,0,58346.65087686443,Time_Window_Violation,
0-1-27,False,0,0,63001.72547836398,Time_Window_Violation,
0-1-28,False,0,0,61955.451517300025,Time_Window_Violation,
0-1-29,False,0,0,69487.38529376814,Time_Window_Violation,
0-1-30,False,0,0,67475.07542756846,Time_Window_Violation,
0-1-31,False,0,0,100326.61523798903,Time_Window_Violation,
0-1-32,False,0,0,95126.18795598313,Time_Window_Violation,
0-1-33,False,0,0,98608.08195323055,Time_Window_Violation,
0-1-34,False,0,0,94635.85299525663,Time_Window_Violation,
0-1-35,False,0,0,108615.97587144564,Time_Window_Violation,
0-1-36,False,0,0,100177.96873183409,Time_Window_Violation,
0-1-37,False,0,0,109288.0735437164,Time_Window_Violation,
0-1-38,False,0,0,112912.59794844603,Time_Window_Violation,
0-1-39,False,0,0,109529.94550773528,Time_Window_Violation,
0-1-40,False,0,0,78590.83522913471,Time_Window_Violation,
0-1-41,False,0,0,74726.16676907762,Time_Window_Violation,
0-1-42,False,0,0,75942.08153011792,Time_Window_Violation,
0-1-43,False,0,0,70348.58678167514,Time_Window_Violation,
0-1-44,False,0,0,80384.37217685382,Time_Window_Violation,
0-1-45,False,0,0,81895.6178988983,Time_Window_Violation,
0-1-46,False,0,0,78272.80197424341,Time_Window_Violation,
0-1-47,False,0,0,72958.43599037307,Time_Window_Violation,
0-1-48,False,0,0,83634.6658646479,Time_Window_Violation,
0-1-49,False,0,0,75012.33679110912,Time_Window_Violation,
0-1-50,False,0,0,82191.31506834741,Time_Window_Violation,
0-2-1,True,171.82211020156,47636845.01047625,41297.069820357705,None,"{0: 3007.892770201442, 2: 2152.902880525758, 1: 2392.9391721267516}"
0-2-3,False,0,0,41740.0436246854,Time_Window_Violation,
0-2-4,False,0,0,42331.84967982712,Time_Window_Violation,
0-2-5,False,0,0,41579.22597335516,Time_Window_Violation,
0-2-6,False,0,0,44714.547641681085,Time_Window_Violation,
0-2-7,False,0,0,43018.65236552115,Time_Window_Violation,
0-2-8,False,0,0,46006.40829364366,Time_Window_Violation,
0-2-9,False,0,0,47715.279370330085,Time_Window_Violation,
0-2-10,False,0,0,48148.91235659752,Time_Window_Violation,
0-2-11,False,0,0,50312.28645359769,Time_Window_Violation,
0-2-12,False,0,0,83694.39365740784,Time_Window_Violation,
0-2-13,False,0,0,74958.57632146667,Time_Window_Violation,
0-2-14,False,0,0,87431.92587188914,Time_Window_Violation,
0-2-15,False,0,0,83596.86491840071,Time_Window_Violation,
0-2-16,False,0,0,90081.57634380755,Time_Window_Violation,
0-2-17,False,0,0,81376.2401742737,Time_Window_Violation,
0-2-18,False,0,0,86384.67983890678,Time_Window_Violation,
0-2-19,False,0,0,91289.55310930536,Time_Window_Violation,
0-2-20,False,0,0,55615.52812808831,Time_Window_Violation,
0-2-21,False,0,0,54244.31618299383,Time_Window_Violation,
0-2-22,False,0,0,57539.88999496464,Time_Window_Violation,
0-2-23,False,0,0,56287.096225597576,Time_Window_Violation,
0-2-24,False,0,0,63899.79937555021,Time_Window_Violation,
0-2-25,False,0,0,62655.522172657285,Time_Window_Violation,
0-2-26,False,0,0,61426.9164289302,Time_Window_Violation,
0-2-27,False,0,0,66158.11170381578,Time_Window_Violation,
0-2-28,False,0,0,64962.62718614635,Time_Window_Violation,
0-2-29,False,0,0,72631.14931525255,Time_Window_Violation,
0-2-30,False,0,0,70385.8157304031,Time_Window_Violation,
0-2-31,False,0,0,103654.02247364348,Time_Window_Violation,
0-2-32,False,0,0,98336.02701623653,Time_Window_Violation,
0-2-33,False,0,0,101775.65881182693,Time_Window_Violation,
0-2-34,False,0,0,97658.0247330238,Time_Window_Violation,
0-2-35,False,0,0,111845.12272108108,Time_Window_Violation,
0-2-36,False,0,0,103140.77284769871,Time_Window_Violation,
0-2-37,False,0,0,112340.20045253861,Time_Window_Violation,
0-2-38,False,0,0,115929.85351622474,Time_Window_Violation,
0-2-39,False,0,0,112404.96757451605,Time_Window_Violation,
0-2-40,False,0,0,82462.11251235321,Time_Window_Violation,
0-2-41,False,0,0,78590.83522913471,Time_Window_Violation,
0-2-42,False,0,0,79778.45373425882,Time_Window_Violation,
0-2-43,False,0,0,74168.47348533515,Time_Window_Violation,
0-2-44,False,0,0,84215.6690462525,Time_Window_Violation,
0-2-45,False,0,0,85696.22662967385,Time_Window_Violation,
0-2-46,False,0,0,82060.18484169329,Time_Window_Violation,
0-2-47,False,0,0,76722.15003472779,JobSolveStatus.INFEASIBLE_SOLUTION,
0-2-48,False,0,0,87401.96333167097,Time_Window_Violation,
0-2-49,False,0,0,78735.05375707429,Time_Window_Violation,
0-2-50,False,0,0,85904.32820256706,Time_Window_Violation,
0-3-1,True,83.71266899509538,47470391.79766332,38411.60846433049,None,"{0: 2984.3457423243663, 3: 361.2917308938909, 1: 2392.939178960602}"
